has_driver	CADD_score_norm_sum
Passengers in absence of driver	0.33527204331550103
Passengers in absence of driver	1.003110548553559
Drivers	0.2729285835312733
Passengers in absence of driver	0.9735096707500642
Passengers in absence of driver	0.9117519738623842
Passengers in absence of driver	0.04853033781675007
Passengers in absence of driver	0.25937164702831134
Passengers in absence of driver	0.0703489105110591
Passengers in absence of driver	0.11636510703346013
Passengers in absence of driver	0.25565310922679013
Drivers	0.2586057979420422
Passengers in absence of driver	0.16337726376493436
Drivers	0.24212663431837347
Drivers	0.1806748136764056
Drivers	0.21916247515476095
Passengers in presence of driver	0.04954305273858339
Passengers in absence of driver	0.1837199410673709
Passengers in absence of driver	0.9385461815623402
Passengers in absence of driver	1.184128349800564
Drivers	0.2143578478576644
Drivers	0.13767827087608586
Passengers in absence of driver	0.4194805225733807
Drivers	0.2753352609806328
