driver_status	adj_splicing_density
Passengers in absence of driver	2.5851308762171685
Passengers in absence of driver	1.3579373941627573
Passengers in absence of driver	1.2578802126868518
Drivers	8.70339819830954
Passengers in absence of driver	5.651003144968538
Passengers in absence of driver	0.9695687248417348
Passengers in absence of driver	2.9897443118530838
Passengers in absence of driver	1.752988472698949
Passengers in absence of driver	1.6664653632924606
Passengers in absence of driver	3.359516798347232
Passengers in absence of driver	2.2479905081129785
Passengers in absence of driver	1.7172346713647229
Passengers in absence of driver	3.7484894319715996
Drivers	15.83474856398624
Passengers in absence of driver	0.567026877862178
Passengers in absence of driver	1.2647364842330977
Passengers in absence of driver	3.899918193366017
Passengers in absence of driver	2.2866542835571706
Passengers in absence of driver	3.6229846161941297
Drivers	26.72624838306197
Passengers in absence of driver	1.5636391340139992
Passengers in absence of driver	0.7552775263801128
Passengers in absence of driver	2.526935884245066
Passengers in absence of driver	1.2986688467377308
Passengers in absence of driver	2.7748355596046514
Passengers in absence of driver	2.106813267933601
Passengers in absence of driver	2.8891785382666706
Passengers in absence of driver	8.899813904891248
Passengers in absence of driver	1.068243112552856
Passengers in absence of driver	2.0639545226789906
Passengers in absence of driver	0.2877243002650599
Passengers in absence of driver	1.7744427353301597
Passengers in absence of driver	3.8388415911614513
Passengers in absence of driver	0.6593757523790441
Passengers in absence of driver	6.080152830721553
Passengers in absence of driver	4.633816355109852
Passengers in absence of driver	1.9584699042594294
Passengers in absence of driver	1.8721322225208403
Passengers in absence of driver	1.9242908453041663
Drivers	67.55548574822028
Passengers in absence of driver	1.128276975581075
Passengers in absence of driver	1.2513527332536327
Drivers	3.1217515492374948
Passengers in absence of driver	13.187218947396184
Passengers in absence of driver	7.382467586284044
Drivers	1.984756136316289
Passengers in presence of driver	1.984756136316289
Passengers in absence of driver	1.5723279641522234
Drivers	23.19768487104987
Passengers in absence of driver	2.7424983645196708
Passengers in absence of driver	1.7477315827903785
Passengers in absence of driver	2.6946365040531064
Passengers in absence of driver	0.7509870297043398
Drivers	4.371473107450156
Passengers in absence of driver	5.994819984707327
Drivers	18.46641927820307
Passengers in absence of driver	7.969381665526229
Passengers in absence of driver	3.7032223628042322
Passengers in absence of driver	2.1216621514514697
Passengers in absence of driver	3.7050396363635127
Passengers in absence of driver	15.651203538424095
Passengers in absence of driver	5.129814653083432
Passengers in absence of driver	95.27963403926262
Passengers in absence of driver	1.5913114403314461
Passengers in absence of driver	0.5042561010950836
Drivers	6.037902985046592
Passengers in absence of driver	37.198263957021126
Passengers in absence of driver	2.9621068756782103
Drivers	0.9702446745798512
Passengers in absence of driver	3.895858368484446
Passengers in absence of driver	1.1737450429937615
Passengers in absence of driver	1.284570646231203
Passengers in absence of driver	1.1705853601643281
Passengers in absence of driver	0.9736252395188069
Drivers	3.2543121262829313
Passengers in absence of driver	1.6850088542449875
Passengers in absence of driver	1.2048209890792216
Passengers in absence of driver	0.7070060895260805
Passengers in absence of driver	1.3067396642587084
Drivers	4.804885766408514
Passengers in presence of driver	4.804885766408514
Drivers	78.19690449733856
Passengers in absence of driver	3.0000465888484955
Passengers in absence of driver	3.3457570738277966
Passengers in absence of driver	3.024578574266855
Passengers in absence of driver	1.4376464851511366
Passengers in absence of driver	3.9286172270280715
Passengers in absence of driver	3.7554270732849906
Passengers in absence of driver	3.8600553157506914
Passengers in absence of driver	16.701740321341482
Passengers in absence of driver	1.7929762027332106
Passengers in absence of driver	1.0181578555127293
Passengers in absence of driver	1.088916510798817
Passengers in absence of driver	1.6234324125119433
Drivers	17.10833252781601
Passengers in absence of driver	2.11792102885198
Passengers in absence of driver	29.185341180833795
Passengers in absence of driver	3.1150498918169456
Drivers	2.8855230272708834
Drivers	115.37789795026838
Passengers in absence of driver	7.2864334514913525
Passengers in absence of driver	1.145488929200019
Drivers	3.891767986413838
Passengers in absence of driver	2.7716539751322307
Passengers in absence of driver	1.756568062872425
Passengers in absence of driver	2.2613681890374457
Passengers in absence of driver	3.3107271195299592
Passengers in absence of driver	0.9359470180281968
Passengers in absence of driver	1.443555600688054
Drivers	10.434573917217309
Passengers in absence of driver	2.76783786174644
Passengers in absence of driver	6.641828812477076
Drivers	5.884391060594922
Passengers in absence of driver	2.1545330944053087
Passengers in absence of driver	9.98090605885444
Passengers in absence of driver	58.76966863095163
Passengers in absence of driver	2.003876404973715
Passengers in absence of driver	1.4857903043179683
Drivers	3.0062443499927354
Passengers in presence of driver	3.0062443499927354
Drivers	5.669054755982624
Drivers	38.581723777162814
Passengers in presence of driver	38.581723777162814
Drivers	23.737421392045473
Drivers	44.89468828495556
Passengers in presence of driver	44.89468828495556
Passengers in absence of driver	4.922407256075004
Passengers in absence of driver	0.3190099901811862
Passengers in absence of driver	0.18465822943681068
Passengers in absence of driver	3.1020347802310986
Passengers in absence of driver	4.057306667276953
Passengers in absence of driver	2.419542924816352
Passengers in absence of driver	1.9757209176105157
Drivers	1.5264693923643775
Passengers in presence of driver	3.052938784728755
Passengers in absence of driver	3.606941817738575
Passengers in absence of driver	1.1315874773443326
Drivers	0.45244635807360534
Passengers in absence of driver	1.4726637165776209
Drivers	0.1401800937804004
Passengers in presence of driver	0.42054028134120114
Drivers	5.3221410658170925
Passengers in presence of driver	5.3221410658170925
Passengers in absence of driver	4.289151993550076
Drivers	13.47766111364566
Passengers in absence of driver	11.369418617388877
Drivers	56.95612242718516
Passengers in absence of driver	1.3358038156631544
Drivers	19.075289799253916
Passengers in presence of driver	267.05405718955484
Passengers in absence of driver	2.5605117834876303
Passengers in absence of driver	1.6002015931300022
Passengers in absence of driver	6.519667550738702
Passengers in absence of driver	6.428453621419125
Drivers	0.5100618549668422
Drivers	1.6377747999881471
Drivers	3.269128200333484
Passengers in absence of driver	3.284163150533836
Passengers in absence of driver	3.5874648596606167
Passengers in absence of driver	1.836097001129162
Passengers in absence of driver	0.4461456237328994
Passengers in absence of driver	6.00255088904494
Passengers in absence of driver	8.769281443872712
Drivers	113.04919830454465
