cancer_gene_type	mutation_count_bin	gene_exp	TMB_group
TSG	0-2	0.16630362517669026	Low (0-5/Mb)
TSG	0-2	0.40530155986916283	Low (0-5/Mb)
TSG	10-20	0.0004073379759608934	Low (0-5/Mb)
TSG	0-2	0.00022820642114176448	Medium (5-10/Mb)
TSG	0-2	0.11285175393779678	Medium (5-10/Mb)
TSG	3-5	0.06267669660460415	Medium (5-10/Mb)
TSG	10-20	0.00012230080558503503	Medium (5-10/Mb)
TSG	0-2	0.17901910536699236	Medium (5-10/Mb)
TSG	5-10	0.00014240466536723925	Low (0-5/Mb)
TSG	5-10	0.001299154463491297	Low (0-5/Mb)
TSG	20+	9.510438264320615e-05	Low (0-5/Mb)
TSG	0-2	0.1466063704818244	High (>=10/Mb)
TSG	20+	0.0038733301189741716	High (>=10/Mb)
TSG	0-2	0.23078973213884516	High (>=10/Mb)
TSG	0-2	0.033346527890651234	Medium (5-10/Mb)
TSG	0-2	0.019824115588731702	Medium (5-10/Mb)
TSG	10-20	0.0010061035407187954	Medium (5-10/Mb)
TSG	0-2	0.24226572525675422	Low (0-5/Mb)
TSG	0-2	0.026532797196779177	Low (0-5/Mb)
TSG	10-20	0.00014515085470660484	Low (0-5/Mb)
TSG	0-2	0.211061561384331	Low (0-5/Mb)
TSG	0-2	0.4066794863943323	Low (0-5/Mb)
TSG	5-10	0.0006162673258704053	Low (0-5/Mb)
TSG	0-2	0.10571783758755798	Low (0-5/Mb)
TSG	3-5	0.010280169608264764	Low (0-5/Mb)
TSG	0-2	0.04640237737366147	Low (0-5/Mb)
TSG	0-2	0.12499578092691167	Low (0-5/Mb)
TSG	5-10	0.002609833131097749	Low (0-5/Mb)
TSG	0-2	0.10774708421178136	Low (0-5/Mb)
TSG	0-2	0.0002005354625193829	Low (0-5/Mb)
TSG	10-20	0.00023218367376142652	Low (0-5/Mb)
TSG	0-2	0.08125241246909803	Low (0-5/Mb)
TSG	0-2	0.2786626549312224	Low (0-5/Mb)
TSG	0-2	0.10335392095503185	Low (0-5/Mb)
TSG	5-10	0.01366447091793203	Low (0-5/Mb)
TSG	0-2	0.1051950996053145	Low (0-5/Mb)
TSG	20+	0.23536072726185964	High (>=10/Mb)
TSG	10-20	0.003309496142374133	High (>=10/Mb)
TSG	20+	0.1049646973567474	High (>=10/Mb)
TSG	5-10	0.12815238249572183	High (>=10/Mb)
TSG	20+	0.19724176103600488	High (>=10/Mb)
TSG	10-20	0.43737990742456295	High (>=10/Mb)
TSG	0-2	0.1776372784844254	Low (0-5/Mb)
TSG	3-5	0.0039135045956445735	Low (0-5/Mb)
TSG	0-2	0.03874769019562594	Low (0-5/Mb)
TSG	0-2	0.09791306390951571	Low (0-5/Mb)
TSG	5-10	0.0031813137492671885	Low (0-5/Mb)
TSG	10-20	0.0	Low (0-5/Mb)
TSG	3-5	0.0003672611207777303	Low (0-5/Mb)
TSG	0-2	0.518840717390312	Low (0-5/Mb)
TSG	0-2	0.20422351683271445	Low (0-5/Mb)
TSG	3-5	0.0009295245778103774	Low (0-5/Mb)
TSG	0-2	0.3015811662940075	Low (0-5/Mb)
TSG	3-5	0.05319900700176493	Low (0-5/Mb)
TSG	0-2	0.06610201806814428	High (>=10/Mb)
TSG	0-2	0.14886209434750977	High (>=10/Mb)
TSG	20+	0.0037293837308703852	High (>=10/Mb)
TSG	0-2	0.03670564557311997	Medium (5-10/Mb)
TSG	3-5	0.08089441990537058	Medium (5-10/Mb)
TSG	0-2	0.06819208173540592	Medium (5-10/Mb)
TSG	20+	0.011664701220653214	Medium (5-10/Mb)
TSG	0-2	0.2046115281968946	Medium (5-10/Mb)
TSG	0-2	0.02396122039274568	Low (0-5/Mb)
TSG	10-20	0.0	Low (0-5/Mb)
TSG	3-5	0.00014930057119357966	Low (0-5/Mb)
TSG	0-2	0.0021708629072933455	Low (0-5/Mb)
TSG	5-10	0.002541742733941968	Low (0-5/Mb)
TSG	0-2	0.07077858247703339	Low (0-5/Mb)
TSG	5-10	0.001664541341130419	Low (0-5/Mb)
TSG	0-2	0.23493346854457292	Medium (5-10/Mb)
TSG	20+	0.0004463656879186631	Medium (5-10/Mb)
TSG	0-2	0.01897411453815498	Low (0-5/Mb)
TSG	3-5	0.0006614377217937872	Low (0-5/Mb)
TSG	0-2	0.21047459452256737	Low (0-5/Mb)
TSG	0-2	0.03966859776677791	Low (0-5/Mb)
TSG	0-2	0.024221874318943407	Low (0-5/Mb)
