cancer_gene_type	mutation_count_bin	gene_exp	gene_size_group
TSG	0-2	0.04431331556860731	Q2
TSG	2-5	0.0005075593451482668	Q3
TSG	5-10	0.00036616174761231753	Q3
TSG	0-2	0.19933658145974034	Q1
TSG	0-2	0.07668965921132989	Q2
TSG	5-10	0.0011208526373300744	Q3
TSG	10+	0.0047436789562033625	Q3
TSG	0-2	0.11384526936621467	Q2
TSG	0-2	0.22946232786951634	Q2
TSG	0-2	0.1226450351800249	Q2
TSG	10+	0.0008381810252659302	Q3
TSG	0-2	0.3568645270021581	Q1
TSG	0-2	0.061335286993740815	Q2
TSG	0-2	0.0005868205674650278	Q3
TSG	5-10	0.0	Q3
TSG	0-2	0.0008040739870547788	Q3
TSG	0-2	0.2952219593672455	Q2
TSG	5-10	0.000885807105434976	Q3
TSG	5-10	4.311437968658562e-05	Q3
TSG	2-5	0.001073503350441553	Q3
TSG	0-2	0.18319743908500433	Q3
TSG	0-2	0.011754914210123028	Q1
TSG	0-2	0.013672130542551333	Q2
TSG	0-2	0.024050396676551684	Q1
TSG	10+	0.006591341854193178	Q3
TSG	0-2	0.18503297974305757	Q2
TSG	2-5	0.00026356105933887316	Q3
TSG	2-5	0.0	Q3
TSG	0-2	0.43927439016994985	Q2
TSG	2-5	0.6823039866984927	Q3
TSG	0-2	0.10084484472934402	Q2
TSG	0-2	0.16630362517669026	Q3
TSG	0-2	0.40530155986916283	Q1
TSG	10+	0.0004073379759608934	Q3
TSG	0-2	0.00022820642114176448	Q1
TSG	0-2	0.11285175393779678	Q2
TSG	2-5	0.06267669660460415	Q1
TSG	10+	0.00012230080558503503	Q3
TSG	0-2	0.17901910536699236	Q1
TSG	5-10	0.00014240466536723925	Q3
TSG	5-10	0.001299154463491297	Q3
TSG	10+	9.510438264320615e-05	Q3
TSG	0-2	0.1466063704818244	Q2
TSG	10+	0.0038733301189741716	Q3
TSG	0-2	0.23078973213884516	Q1
TSG	0-2	0.033346527890651234	Q2
TSG	0-2	0.019824115588731702	Q2
TSG	10+	0.0010061035407187954	Q3
TSG	0-2	0.24226572525675422	Q1
TSG	0-2	0.026532797196779177	Q1
TSG	10+	0.00014515085470660484	Q3
TSG	0-2	0.211061561384331	Q1
TSG	0-2	0.4066794863943323	Q2
TSG	5-10	0.0006162673258704053	Q3
TSG	0-2	0.10571783758755798	Q2
TSG	2-5	0.010280169608264764	Q3
TSG	0-2	0.04640237737366147	Q3
TSG	0-2	0.12499578092691167	Q2
TSG	5-10	0.002609833131097749	Q3
TSG	0-2	0.10774708421178136	Q2
TSG	0-2	0.0002005354625193829	Q3
TSG	10+	0.00023218367376142652	Q3
TSG	0-2	0.08125241246909803	Q1
TSG	0-2	0.2786626549312224	Q3
TSG	0-2	0.10335392095503185	Q2
TSG	5-10	0.01366447091793203	Q3
TSG	0-2	0.1051950996053145	Q1
TSG	10+	0.23536072726185964	Q1
TSG	10+	0.003309496142374133	Q1
TSG	10+	0.1049646973567474	Q2
TSG	5-10	0.12815238249572183	Q1
TSG	10+	0.19724176103600488	Q1
TSG	10+	0.43737990742456295	Q1
TSG	0-2	0.1776372784844254	Q3
TSG	2-5	0.0039135045956445735	Q3
TSG	0-2	0.03874769019562594	Q2
TSG	0-2	0.09791306390951571	Q1
TSG	5-10	0.0031813137492671885	Q3
TSG	10+	0.0	Q3
TSG	2-5	0.0003672611207777303	Q3
TSG	0-2	0.518840717390312	Q1
TSG	0-2	0.20422351683271445	Q2
TSG	2-5	0.0009295245778103774	Q3
TSG	0-2	0.3015811662940075	Q1
TSG	2-5	0.05319900700176493	Q3
TSG	0-2	0.06610201806814428	Q2
TSG	0-2	0.14886209434750977	Q2
TSG	10+	0.0037293837308703852	Q3
TSG	0-2	0.03670564557311997	Q2
TSG	2-5	0.08089441990537058	Q2
TSG	0-2	0.06819208173540592	Q1
TSG	10+	0.011664701220653214	Q3
TSG	0-2	0.2046115281968946	Q1
TSG	0-2	0.02396122039274568	Q2
TSG	10+	0.0	Q3
TSG	2-5	0.00014930057119357966	Q3
TSG	0-2	0.0021708629072933455	Q3
TSG	5-10	0.002541742733941968	Q3
TSG	0-2	0.07077858247703339	Q1
TSG	5-10	0.001664541341130419	Q3
TSG	0-2	0.23493346854457292	Q1
TSG	10+	0.0004463656879186631	Q3
TSG	0-2	0.01897411453815498	Q1
TSG	2-5	0.0006614377217937872	Q3
TSG	0-2	0.21047459452256737	Q1
TSG	0-2	0.03966859776677791	Q2
TSG	0-2	0.024221874318943407	Q2
TSG	5-10	0.00016198827006423243	Q3
TSG	0-2	0.3443258460197968	Q2
TSG	2-5	0.0059523887120097535	Q3
TSG	0-2	0.3222299031360935	Q2
TSG	10+	0.00400811654540715	Q3
TSG	0-2	0.1778222412601924	Q2
TSG	2-5	0.0015596932189574563	Q3
TSG	0-2	0.05681090858636008	Q1
TSG	0-2	0.04979582151696521	Q2
TSG	5-10	0.0001392578129413359	Q3
TSG	0-2	0.03209102196052184	Q2
TSG	0-2	0.03349664664245894	Q1
TSG	10+	0.0001527647966714996	Q3
TSG	0-2	0.024085055166729777	Q1
